id_persona_cargo,n_titulares,id_afiliado_titular,estado_relacion
10001574,1,523659,Titular único
10001578,1,796440,Titular único
10001579,1,744232,Titular único
10001580,3,,Múltiples titulares
10001581,2,,Múltiples titulares
10001583,1,527728,Titular único
10001587,2,,Múltiples titulares
10001589,1,795646,Titular único
10001591,2,,Múltiples titulares
10001595,1,798518,Titular único
10001596,1,796191,Titular único
10001600,1,802729,Titular único
10001601,1,528428,Titular único
10001602,1,396519,Titular único
10001603,1,771857,Titular único
10001606,1,366675,Titular único
10001607,1,799100,Titular único
10001610,1,794816,Titular único
10001611,1,794993,Titular único
10001614,2,,Múltiples titulares
10001615,3,,Múltiples titulares
10001616,1,527901,Titular único
10001619,1,528512,Titular único
10001625,1,798380,Titular único
10001630,2,,Múltiples titulares
10001631,3,,Múltiples titulares
10001632,2,,Múltiples titulares
10001635,1,524786,Titular único
10001637,1,795762,Titular único
10001638,1,780382,Titular único
10001659,1,525136,Titular único
10001779,1,407620,Titular único
10001787,1,793909,Titular único
10001788,1,153480,Titular único
10001791,1,519847,Titular único
10001793,1,521602,Titular único
10001795,1,791585,Titular único
10001798,1,800031,Titular único
10001801,5,,Múltiples titulares
10001802,1,521473,Titular único
10001804,1,519502,Titular único
10001807,2,,Múltiples titulares
10001808,1,519395,Titular único
10001809,2,,Múltiples titulares
10001810,1,795111,Titular único
10001812,2,,Múltiples titulares
10001813,2,,Múltiples titulares
10001814,1,914861,Titular único
10001815,1,530013,Titular único
10001816,1,519129,Titular único
10001817,1,795684,Titular único
10001821,2,,Múltiples titulares
10001822,2,,Múltiples titulares
10001824,1,807699,Titular único
10001825,1,421177,Titular único
10001826,4,,Múltiples titulares
10001827,1,795907,Titular único
10001829,1,521517,Titular único
10001830,2,,Múltiples titulares
10001831,1,803531,Titular único
10001832,1,800904,Titular único
10001833,3,,Múltiples titulares
10001835,1,798672,Titular único
10001837,1,526209,Titular único
10001840,2,,Múltiples titulares
10001841,5,,Múltiples titulares
10001842,2,,Múltiples titulares
10001843,3,,Múltiples titulares
10001846,4,,Múltiples titulares
10001848,3,,Múltiples titulares
10001849,1,794620,Titular único
10001850,2,,Múltiples titulares
10001852,1,113497,Titular único
10001853,2,,Múltiples titulares
10001855,1,794202,Titular único
10001856,1,280832,Titular único
10001858,1,523369,Titular único
10001859,1,912871,Titular único
10001860,1,800820,Titular único
10001861,1,524159,Titular único
10001920,1,782959,Titular único
10002061,1,439278,Titular único
10002078,1,721996,Titular único
10002131,2,,Múltiples titulares
10002132,2,,Múltiples titulares
10002133,1,801221,Titular único
10002136,1,798086,Titular único
10002141,1,529570,Titular único
10002143,1,798034,Titular único
10002150,1,735455,Titular único
10002155,1,206270,Titular único
10002168,1,799134,Titular único
10002173,1,796339,Titular único
10002183,1,805428,Titular único
10002187,2,,Múltiples titulares
10002194,1,801751,Titular único
10002195,1,800650,Titular único
10002197,1,523320,Titular único
10002198,3,,Múltiples titulares
10002206,1,523769,Titular único
10002212,1,797067,Titular único
10002231,1,794921,Titular único
10002232,1,796346,Titular único
10002236,2,,Múltiples titulares
10002237,1,799707,Titular único
10002239,1,530913,Titular único
10002244,1,799043,Titular único
10002246,1,804903,Titular único
10002247,1,794106,Titular único
10002257,1,519452,Titular único
10002262,1,551507,Titular único
10002265,1,793803,Titular único
10002268,2,,Múltiples titulares
10002269,1,523219,Titular único
10002270,1,417696,Titular único
10002273,1,804151,Titular único
10002275,1,375106,Titular único
10002276,1,521090,Titular único
10002278,1,528811,Titular único
10002280,1,527528,Titular único
10002360,1,121906,Titular único
